Title,Artist,Taiwanese,TL,Meaning,Option1,Option2
寫一條歌寫你我爾爾,蕭煌奇,放予鬆,pàng-hōo-sang,放輕鬆,放開東西,放縱
寫一條歌寫你我爾爾,蕭煌奇,啉,lim,喝,唱歌,跳舞
寫一條歌寫你我爾爾,蕭煌奇,一寡,tsi̍t-kuá,一些,全部,一個
寫一條歌寫你我爾爾,蕭煌奇,酒,tsiú,酒,水,茶
寫一條歌寫你我爾爾,蕭煌奇,茫,bâng,醉,迷惘,模糊
寫一條歌寫你我爾爾,蕭煌奇,咱,lán,我們,他們,你
寫一條歌寫你我爾爾,蕭煌奇,相仝,sio-kāng,相同,像天空,相互碰觸
寫一條歌寫你我爾爾,蕭煌奇,多情,to-tsîng,多情,很多錢,很難過
寫一條歌寫你我爾爾,蕭煌奇,疼心,thiànn-sim,心疼，珍愛,疼痛的身體,心臟病發作
寫一條歌寫你我爾爾,蕭煌奇,少年人,siàu-liân-lâng,年輕人,老人家,小朋友
寫一條歌寫你我爾爾,蕭煌奇,一工,tsi̍t-kang,有一天,一個公司,一場火災
寫一條歌寫你我爾爾,蕭煌奇,閣較,koh-khah,更加,更多美味的食物,房間裡增加傢俱
寫一條歌寫你我爾爾,蕭煌奇,勇敢,ióng-kám,勇敢,退縮,膽怯
寫一條歌寫你我爾爾,蕭煌奇,大欉,tuā-tsâng,長大茁壯,小棵樹,矮小的人
寫一條歌寫你我爾爾,蕭煌奇,拍拼,phah-piànn,打拼，努力,拍打與拼湊,拍照與拼貼
寫一條歌寫你我爾爾,蕭煌奇,認同,jīn-tông,認同,拒絕,否定
寫一條歌寫你我爾爾,蕭煌奇,美夢,bí-bāng,美夢,美好的希望,甜蜜的睡眠
寫一條歌寫你我爾爾,蕭煌奇,其實,kî-si̍t,其實,真的嗎,實際上
寫一條歌寫你我爾爾,蕭煌奇,勉強袂來,bián-kióng bē lâi,勉強不來,勉勵自己,勉強可以
寫一條歌寫你我爾爾,蕭煌奇,大海,tuā-hái,大海,天空,沙灘
寫一條歌寫你我爾爾,蕭煌奇,小船,sió-tsûn,小船,大型帆船,飛機
寫一條歌寫你我爾爾,蕭煌奇,按怎,án-tsuánn,如何，怎樣,模仿,停止
