Title,Artist,Taiwanese,TL,Meaning
寫一條歌寫你我爾爾,蕭煌奇,放予鬆,pàng-hōo-sang,放輕鬆
寫一條歌寫你我爾爾,蕭煌奇,啉,lim,喝
寫一條歌寫你我爾爾,蕭煌奇,一寡,tsi̍t-kuá,一些
寫一條歌寫你我爾爾,蕭煌奇,酒,tsiú,酒
寫一條歌寫你我爾爾,蕭煌奇,茫,bâng,醉
寫一條歌寫你我爾爾,蕭煌奇,咱,lán,我們
寫一條歌寫你我爾爾,蕭煌奇,相仝,sio-kāng,相同
寫一條歌寫你我爾爾,蕭煌奇,多情,to-tsîng,多情
寫一條歌寫你我爾爾,蕭煌奇,疼心,thiànn-sim,心疼，珍愛
寫一條歌寫你我爾爾,蕭煌奇,少年人,siàu-liân-lâng,年輕人
寫一條歌寫你我爾爾,蕭煌奇,一工,tsi̍t-kang,有一天
寫一條歌寫你我爾爾,蕭煌奇,閣較,koh-khah,更加
寫一條歌寫你我爾爾,蕭煌奇,勇敢,ióng-kám,勇敢
寫一條歌寫你我爾爾,蕭煌奇,大欉,tuā-tsâng,長大茁壯
寫一條歌寫你我爾爾,蕭煌奇,拍拼,phah-piànn,打拼，努力
寫一條歌寫你我爾爾,蕭煌奇,認同,jīn-tông,認同
寫一條歌寫你我爾爾,蕭煌奇,美夢,bí-bāng,美夢
寫一條歌寫你我爾爾,蕭煌奇,其實,kî-si̍t,其實
寫一條歌寫你我爾爾,蕭煌奇,勉強袂來,bián-kióng bē lâi,勉強不來
寫一條歌寫你我爾爾,蕭煌奇,大海,tuā-hái,大海
寫一條歌寫你我爾爾,蕭煌奇,小船,sió-tsûn,小船
寫一條歌寫你我爾爾,蕭煌奇,按怎,án-tsuánn,如何，怎樣
寫一條歌寫你我爾爾,蕭煌奇,駛,sái,駕駛
寫一條歌寫你我爾爾,蕭煌奇,做伴,tsò-phuānn,作伴
寫一條歌寫你我爾爾,蕭煌奇,毋驚,m̄-kiann,不怕
寫一條歌寫你我爾爾,蕭煌奇,燒寒,sio-kuânn,冷熱，引申為困境
寫一條歌寫你我爾爾,蕭煌奇,這齣戲,tsit-tshut-hì,這齣戲
寫一條歌寫你我爾爾,蕭煌奇,袂曉,bē-hiáu,不會，不懂
寫一條歌寫你我爾爾,蕭煌奇,搬,pua̋n,演出
寫一條歌寫你我爾爾,蕭煌奇,鬥陣,tàu-tīn,一起，同夥
寫一條歌寫你我爾爾,蕭煌奇,無算啥,bô-sǹg-siánn,不算什麼
寫一條歌寫你我爾爾,蕭煌奇,留情份,lâu-tsîng-hūn,留情面
寫一條歌寫你我爾爾,蕭煌奇,毋通,m̄-thang,不要
寫一條歌寫你我爾爾,蕭煌奇,予乾,hōo ta,斷絕關係
寫一條歌寫你我爾爾,蕭煌奇,爾爾,niā-niā,而已
寫一條歌寫你我爾爾,蕭煌奇,屬於,sû-î,屬於
寫一條歌寫你我爾爾,蕭煌奇,上深,siōng tshim,最深
寫一條歌寫你我爾爾,蕭煌奇,痕跡,hûn-jiah/hûn-tsiah,痕跡
寫一條歌寫你我爾爾,蕭煌奇,紀念,kì-liām,紀念
寫一條歌寫你我爾爾,蕭煌奇,慢慢啊,bān-bān--ah,慢慢地
寫一條歌寫你我爾爾,蕭煌奇,行,kiânn,走
寫一條歌寫你我爾爾,蕭煌奇,背影,puē-íng,背影
寫一條歌寫你我爾爾,蕭煌奇,跤跡,kha-jiah/kha-tsiah,腳印
寫一條歌寫你我爾爾,蕭煌奇,順順啊,sūn-sūn--ah,順順地
寫一條歌寫你我爾爾,蕭煌奇,作伙,tsò-hué/tsò-tuè,一起
寫一條歌寫你我爾爾,蕭煌奇,世間,sè-kan,世間
寫一條歌寫你我爾爾,蕭煌奇,戲弄,hì-lāng,捉弄
寫一條歌寫你我爾爾,蕭煌奇,闊,khuah,寬
